ano_ref|ano_amc|populacao|codigo|nome|mun_cod_amc|nome_amc|amazonia|latitude_amc|longitude_amc|amc_original|tipo_territorio_id
1995|1995|61851|2114007|Zé Doca|2114007|Zé Doca|S|-3.24300|-45.82400|""|1
1995|1995|1781|3557154|ZACARIAS|3557154|ZACARIAS|N|-21.05200|-50.05100|""|1
1995|1995|40786|2933604|XIQUE-XIQUE|2933604|XIQUE-XIQUE|N|-10.82200|-42.73100|""|1
1995|1995|39259|1508407|Xinguara|1508407|Xinguara|S|-7.09500|-49.94600|""|1
1995|1995|13045|2616506|XEXEU|2616506|XEXEU|N|-8.80200|-35.62700|""|1
1995|1995|22677|4219705|XAXIM|4219705|XAXIM|N|-26.96200|-52.53500|""|1
1995|1995|4770|4219606|XAVANTINA|4219606|XAVANTINA|N|-27.06900|-52.34200|""|1
1995|1995|12716|1200708|XAPURI|1200708|XAPURI|S|-10.65200|-68.50400|""|1
1995|1995|37392|4219507|XANXERE|4219507|XANXERE|N|-26.87700|-52.40400|""|1
1995|1995|6931|4323804|XANGRI-LA|4323804|XANGRI-LA|N|-29.80100|-50.04400|""|1
1995|1995|7032|4128807|XAMBRE|4128807|XAMBRE|N|-23.73600|-53.49000|""|1
1995|1995|11183|1722107|XAMBIOA|1722107|XAMBIOA|S|-6.41100|-48.53600|""|1
1995|1995|3526|4219408|WITMARSUM|4219408|WITMARSUM|N|-26.92600|-49.79600|""|1
1995|1995|22161|2933505|WENCESLAU GUIMARAES|2933505|WENCESLAU GUIMARAES|N|-13.68700|-39.47900|""|1
1995|1995|18602|4128500|WENCESLAU BRAZ|4128500|WENCESLAU BRAZ|N|-23.87400|-49.80300|""|1
1995|1995|2361|3172202|WENCESLAU BRAZ|3172202|WENCESLAU BRAZ|N|-22.53400|-45.36300|""|1
1995|1995|13284|2933455|WANDERLEY|2933455|WANDERLEY|N|-12.12000|-43.88800|""|1
1995|1995|10274|1722081|WANDERLANDIA|1722081|WANDERLANDIA|S|-6.84900|-47.96300|""|1
1995|1995|8776|2933406|WAGNER|2933406|WAGNER|N|-12.28700|-41.16800|""|1
1995|1995|69863|3557105|VOTUPORANGA|3557105|VOTUPORANGA|N|-20.42300|-49.97300|""|1
1995|1995|87191|3557006|VOTORANTIM|3557006|VOTORANTIM|N|-23.54700|-47.43800|""|1
1995|1995|232287|3306305|VOLTA REDONDA|3306305|VOLTA REDONDA|N|-22.52300|-44.10400|""|1
1995|1995|4655|3172103|VOLTA GRANDE|3172103|VOLTA GRANDE|N|-21.77100|-42.53900|""|1
1995|1995|30663|2113009|VITORINO FREIRE|2113009|VITORINO FREIRE|S|-4.28200|-45.25100|""|1
1995|1995|6405|4128708|VITORINO|4128708|VITORINO|N|-26.27700|-52.78400|""|1
1995|1995|12794|1508357|VITORIA DO XINGU|1508357|VITORIA DO XINGU|S|-2.88000|-52.01000|""|1
1995|1995|54718|2112902|Vitória do Mearim|2112902|Vitória do Mearim|S|-3.46200|-44.87100|""|1
1995|1995|110888|2616407|VITORIA DE SANTO ANTAO|2616407|VITORIA DE SANTO ANTAO|N|-8.11800|-35.29100|""|1
1995|1995|4137|4323754|VITORIA DAS MISSOES|4323754|VITORIA DAS MISSOES|N|-28.35100|-54.49600|""|1
1995|1995|242155|2933307|VITORIA DA CONQUISTA|2933307|VITORIA DA CONQUISTA|N|-14.86600|-40.83900|""|1
1995|1995|5679|4219358|VITOR MEIRELES|4219358|VITOR MEIRELES|N|-26.88100|-49.83300|""|1
1995|1995|3183|2505501|VISTA SERRANA|2505501|VISTA SERRANA|N|-6.73800|-37.56700|""|1
1995|1995|2768|4323705|VISTA GAUCHA|4323705|VISTA GAUCHA|N|-27.29100|-53.70200|""|1
1995|1995|1731|4323606|VISTA ALEGRE DO PRATA|4323606|VISTA ALEGRE DO PRATA|N|-28.80900|-51.79000|""|1
1995|1995|4186|3556909|VISTA ALEGRE DO ALTO|3556909|VISTA ALEGRE DO ALTO|N|-21.17100|-48.62900|""|1
1995|1995|3061|4323507|VISTA ALEGRE|4323507|VISTA ALEGRE|N|-27.36700|-53.49000|""|1
1995|1995|56945|1508308|Viseu|1508308|Viseu|S|-1.19700|-46.14000|""|1
1995|1995|30442|3172004|VISCONDE DO RIO BRANCO|3172004|VISCONDE DO RIO BRANCO|N|-21.01000|-42.84100|""|1
1995|1995|3887|4128658|VIRMOND|4128658|VIRMOND|N|-25.38100|-52.19900|""|1
1995|1995|6462|3171907|VIRGOLANDIA|3171907|VIRGOLANDIA|N|-18.47600|-42.30700|""|1
1995|1995|11391|3171808|VIRGINOPOLIS|3171808|VIRGINOPOLIS|N|-18.82300|-42.70400|""|1
1995|1995|8502|3171709|VIRGINIA|3171709|VIRGINIA|N|-22.33300|-45.09200|""|1
1995|1995|13788|3171600|VIRGEM DA LAPA|3171600|VIRGEM DA LAPA|N|-16.80400|-42.34300|""|1
1995|1995|14419|3556800|VIRADOURO|3556800|VIRADOURO|N|-20.87300|-48.29700|""|1
1995|1995|38625|3556701|VINHEDO|3556701|VINHEDO|N|-23.03000|-46.97500|""|1
1995|1995|44580|1100304|VILHENA|1100304|VILHENA|S|-12.74100|-60.14600|""|1
1995|1995|297430|3205200|VILA VELHA|3205200|VILA VELHA|N|-20.33000|-40.29200|""|1
1995|1995|13244|5108600|VILA RICA|5108600|VILA RICA|S|-10.01200|-51.11600|""|1
1995|1995|8652|3205150|VILA PAVAO|3205150|VILA PAVAO|N|-18.61500|-40.61100|""|1
1995|1995|4121|4323457|VILA NOVA DO SUL|4323457|VILA NOVA DO SUL|N|-30.34400|-53.88300|""|1
1995|1995|4107|4323408|VILA MARIA|4323408|VILA MARIA|N|-28.53500|-52.15400|""|1
